content,score,country,clean_review
👍👍👍,4,us,
Thank you very much It is interesting app for students,5,us,thank much interesting app student
thanks for this great app,5,us,thanks great app
very good,5,us,good
"It doesn't open on ZTE smartphones and I didn't used it I want to use it because all students recommended me to use but it wasn't opening on my smartphone. please, update it for ZTE users!!!!",5,us,doesnt open zte smartphones didnt used want use student recommended use wasnt opening smartphone please update zte user
you are the father of all student in Ethiopia,5,us,father student ethiopia
I need it for my life,5,us,need life
Best explanations for the EUEE questions with a great UI! Thank you for your dedication doing such a supporting app for Ethiopian highschool students.,5,us,best explanation euee question great ui thank dedication supporting app ethiopian highschool student
good,5,us,good
most essential app which I have ever seen,5,us,essential app ever seen
Just use it!,5,us,use
it rely anise,5,us,rely anise
I'm really like it I hope it will help me,5,us,im really like hope help
ɴᴏᴛʜɪɴɢ ᴛᴏ ᴄᴏᴍᴘᴇʀᴇ ᴛʜɪs ᴀᴘᴘ ᴛʜᴀɴᴋs ғᴏʀ ᴀʟʟ ᴀᴅᴍɪɴsᴛʀᴀᴛᴏʀs ᴏғ ᴛʜɪs ᴀᴘᴘ,5,us,s
that is very nice❤️,5,us,nice
Best app and good. I like it,5,us,best app good like
"it's good app, I appreciate",5,us,good app appreciate
"While the app is very useful and functions seamlessly overall, I’ve encountered a frustrating issue. After answering a few questions, if I switch to another app—such as a calculator—and then return, the app refreshes completely and loses all previous progress. This can be quite annoying. Aside from this, I haven't experienced any other issues!!!",4,us,app useful function seamlessly overall ive encountered frustrating issue answering question switch another appsuch calculatorand return app refreshes completely loses previous progress quite annoying aside havent experienced issue
why don't active,5,us,dont active
U guys have the best app. It is really helping me ace my Exam. I gave you 3 stars for some reasons: 1. There's No Dark Mode option on the App which is very crucial for those who study from their devices most of the time 2. Everytime I update the App Boom my Progress is gone. You guys have to fix this either by storing it locally or adding Sync option. I don't want to check through all questions I have done before.,3,us,u guy best app really helping ace exam gave star reason there dark mode option app crucial study device time everytime update app boom progress gone guy fix either storing locally adding sync option dont want check question done
thank for all,5,us,thank
it is great,5,us,great
Excellent study tool well-structured and packed with perfectly detailed entrance exam questions.,5,us,excellent study tool wellstructured packed perfectly detailed entrance exam question
i have found it helpful for entrance and academical exam taker 🤝,5,us,found helpful entrance academical exam taker
❤️❤️❤️💯 right,5,us,right
thanks a lot 🙏🏻,5,us,thanks lot
I really love this app!I really appreciate the explanations after every question they helped me understand my mistakes and learn better. Highlyrecommended for anyone studying for their exams!,5,us,really love appi really appreciate explanation every question helped understand mistake learn better highlyrecommended anyone studying exam
more than my expectations,5,us,expectation
it is the most important app for Ethiopian students 👍,5,us,important app ethiopian student
