content,score,country,clean_review
"The app has become more inconvenient and less user friendly than the earlier versions. Its reward points feature is nominal, unlike other service providers.",1,us,app become inconvenient less user friendly earlier version reward point feature nominal unlike service provider
wow what a nice trip,5,us,wow nice trip
v.good,4,us,vgood
we served wt respect. keep up the good work.,5,us,served wt respect keep good work
Had a calm and helpful driver!,5,us,calm helpful driver
nice one,4,us,nice one
nice,3,us,nice
Smooth app accurate location Hi5 Hybrid designs.,3,us,smooth app accurate location hi hybrid design
please drivers need to keep your can inside smell clean its very dirty all cars and stinks,4,us,please driver need keep inside smell clean dirty car stink
Nice car and good service,5,us,nice car good service
thank you!,5,us,thank
The Driver Droped me off before my destination,1,us,driver droped destination
my wallet says I'm on debt -1.7k tried n called the operators they say it's okay but fix it,1,us,wallet say im debt k tried n called operator say okay fix
satisfied,5,us,satisfied
Excellent,5,us,excellent
wonderful system,5,us,wonderful system
best,5,us,best
"it was easy to order, the driver showed up in a cool electric car and on the, despite the complex location I was in (Marketo).",5,us,easy order driver showed cool electric car despite complex location marketo
great,4,us,great
good,4,us,good
"very, professional and skilled",5,us,professional skilled
too fast,5,us,fast
great service,5,us,great service
good,5,us,good
nice,5,us,nice
sublime,4,us,sublime
best,5,us,best
ride is very efficient and effective,5,us,ride efficient effective
Excellent app. Please provide an option to pay with CASH instead of Ride Wallet.,4,us,excellent app please provide option pay cash instead ride wallet
good,5,us,good
Excellent app,5,us,excellent app
They are scammers ! they make you pay for traffic jam,1,us,scammer make pay traffic jam
good,5,us,good
very nice app wish all the best for ride company,5,us,nice app wish best ride company
😊,5,us,
good,5,us,good
convenient Riding service,5,us,convenient riding service
Polite personality,5,us,polite personality
"Never dare to order food through this app, the driver will call and extort you. The support team can't even help you.",1,us,never dare order food app driver call extort support team cant even help
it's accurate and on time service,5,us,accurate time service
Good driver and and reasonable price 👍🏽,5,us,good driver reasonable price
very good driver 👌,5,us,good driver
amazing driver,5,us,amazing driver
Best driver ever. He followed the map perfectly. Humble and very good driver,5,us,best driver ever followed map perfectly humble good driver
It's a good app. My only complaint is a lot of these drivers do not use the map to find you. They'll ask you a million questions to find out where you are instead of just looking at the gps. I've had to cancel rides because the driver couldn't find me. Please teach these drivers about the gps/map it seems like 80% of them don't know it exists,4,us,good app complaint lot driver use map find theyll ask million question find instead looking gps ive cancel ride driver couldnt find please teach driver gpsmap seems like dont know exists
clean car and respectful driver....great service overall,5,us,clean car respectful drivergreat service overall
Thank you the most beautiful hospitality,5,us,thank beautiful hospitality
it's simple and fast.i like it!!!,5,us,simple fasti like
ok,5,us,ok
"Respectful and kind drive, clean and attractive interior, safe ride.",5,us,respectful kind drive clean attractive interior safe ride
"well done,Thanks",4,us,well donethanks
Movement made easy,5,us,movement made easy
reasonable service - better if having change from 100 birr. he didn't have. a bit annoying,4,us,reasonable service better change birr didnt bit annoying
Safeway😉,5,us,safeway
እጅግ በጣም ጥሩና የተረጋጋ ሃላፊነትን በመሸከም የሚያሽከረክር ሹፌር ነው።,5,us,
It has best map system for the app,5,us,best map system app
Pls Some of us don't know Our drop off in the map! pls let as just text,3,us,pls u dont know drop map pls let text
very polite guy,5,us,polite guy
it still has some kind of bug. It show negative -678 not paid balance on my wallet which is false. I couldn't use my ride point which I have around 5900 point but it says try again later and it's about to expire saying that. your user help contact phone number doesn't work. Very disappointed. Feres is better goodbye ride. and I did give more info on your email and no response!!!,1,us,still kind bug show negative paid balance wallet false couldnt use ride point around point say try later expire saying user help contact phone number doesnt work disappointed feres better goodbye ride give info email response
Easy to use,5,us,easy use
expensive,2,us,expensive
good,4,us,good
good,3,us,good
good job,5,us,good job
the driver is the best,5,us,driver best
Cannot even add a card,1,us,cannot even add card
"Satisfied, I am!",5,us,satisfied
good,5,us,good
its good,3,us,good
good experience,5,us,good experience
Horrible. Drivers are unreliable. Drivers cancel rides. Drivers don't stick to price on app. There's no customer service email or number. No one to complain or dispute fares.,1,us,horrible driver unreliable driver cancel ride driver dont stick price app there customer service email number one complain dispute fare
very efficient,5,us,efficient
nice,5,us,nice
great,5,us,great
such a good service thank you 😊,5,us,good service thank
perfe,5,us,perfe
always great,5,us,always great
best 👌,5,us,best
"It's great. But then it froze. What to do? i have tried to uninstall it, but this didn't work.",4,us,great froze tried uninstall didnt work
"The driver was kind, I wanted to pick up stuff in the shop. He assisted in getting it and didn't ask for anything extra",5,us,driver kind wanted pick stuff shop assisted getting didnt ask anything extra
Best service,5,us,best service
Best,5,us,best
Excellent!!!,5,us,excellent
very good service,5,us,good service
driver arrived on time with excellent driver..,4,us,driver arrived time excellent driver
good,5,us,good
very good,5,us,good
UI needs improvements,1,us,ui need improvement
Waqoo,5,us,waqoo
very good,5,us,good
😍😍😍😍,5,us,
በጣም ጥሩ እና መልካም አሽከርካሪ ነዉ ።,5,us,
the trip was awesome!! the driver was helpful and professional!! his communication is perfect,5,us,trip awesome driver helpful professional communication perfect
Ride is the best in the city. The application the drivers the way they accept comments and feedbacks is just amazing,5,us,ride best city application driver way accept comment feedback amazing
nice,5,us,nice
good,5,us,good
👍,5,us,
Good 👍,5,us,good
